Croatia,,,,,,,,,,,,2738.0,3564.0,5067.0,6591.0,7667.0,9631.0,11469.0,14193.0,14104.0,14207.0,9331.893,11030.079,13244.541,16628.574,20717.316,19413.893,20915.227,21672.479
Cuba,,,1809.0,1836.0,1940.0,2378.0,2327.0,2275.0,1629.0,1913.0,2507.0,2844.0,2740.0,2994.0,3158.0,3229.0,3253.0,3786.0,4106.0,5051.0,4994.0,3399.9648,3249.6353,4009.3398,4561.0166,6004.894,7138.0,7928.05,7364.1055
Cyprus,,,,,,,,,,,,3017.0,3688.0,3496.0,3971.0,5947.0,7809.0,6652.0,9451.0,11330.0,13748.0,16570.396,18875.29,22326.799,25355.24,28736.975,25933.494,26607.555,28634.457
Czechia,,,,,,,,,,,,,,,,,9626.0,11317.0,12336.0,12573.0,13791.0,12810.432,15386.32,17056.16,20555.035,26186.045,26483.38,29097.504,30365.37
Czechoslovakia,,2756.0,,,,3081.0,3751.0,4745.0,4272.0,4143.0,4922.0,5735.0,6551.0,8142.0,8563.0,9919.0,10932.0,11893.0,12723.0,13260.0,13882.0,11742.929,13981.783,15378.206,18389.229,24256.883,25211.404,27732.625,29043.441
Democratic Republic of Congo,,,,,,,,,,,,1065.0,1224.0,1192.0,1191.0,1189.0,1235.0,1111.0,953.0,932.0,894.0,656.69165,523.86804,414.04694,463.99698,578.8487,714.7897,783.0341,794.2714
Denmark,4521.0,4809.0,5302.0,5662.0,6076.0,6363.0,7218.0,7627.0,8239.0,8886.0,9776.0,11086.0,11858.0,14046.0,16832.0,18868.0,21579.0,23059.0,24272.0,26581.0,29049.0,30573.574,34325.44,39021.176,41178.562,44246.4,43509.613,46018.984,47171.086
Djibouti,,,,,,,,,,,,3585.0,3810.0,4087.0,4055.0,4028.0,4787.0,4878.0,3167.0,2944.0,2652.0,2141.634,2081.9954,1880.9988,2097.1233,2463.4448,2654.0,3084.5425,3426.696
Dominica,,,,,,,,,,,,1121.0,1203.0,1245.0,1419.0,1288.0,1674.0,2066.0,2219.0,2802.0,3687.0,4271.69,4894.842,5696.955,6602.7,8454.0625,8823.0,9567.251,7974.3066
Dominican Republic,,,,,,,,,,,,1868.0,2008.0,2075.0,2365.0,2150.0,2928.0,3504.0,3781.0,3830.0,3821.0,4185.406,5198.5664,6788.084,7441.4478,10225.529,11854.366,14530.1,15325.654
East Asia (MPD),,1086.2826,,,,1215.6156,,,,,,,,1725.5217,,,,,4191.3184,,,,,8152.877,,,,17048.79,19749.514
Eastern Europe (MPD),,2015.9938,,,,1374.9872,,,,,,,,5865.5776,,,,,9783.951,,,,,8833.693,,,,18301.775,19578.574
Ecuador,,1098.0,1189.0,1299.0,1462.0,1680.0,1749.0,1892.0,1890.0,1908.0,2844.0,3202.0,3381.0,3649.0,3843.0,4264.0,4801.0,5877.0,6582.0,6336.0,6357.0,6715.474,6993.644,6908.243,7958.921,9103.872,10398.948,10603.806,9646.065
Egypt,,,,,,,,,,,,1435.0,1443.0,1580.0,1859.0,1827.0,2047.0,2560.0,3298.0,3810.0,4001.0,4338.9536,5293.1006,6593.5317,7661.86,9698.017,10774.53,11458.447,12234.504
El Salvador,,,,,,1487.0,1623.0,1682.0,1313.0,1572.0,2723.0,2472.0,2715.0,2813.0,3282.0,3524.0,3668.0,4084.0,3781.0,3357.0,3344.0,3750.5173,4671.339,5403.715,6145.98,7312.656,7726.0,8289.273,8137.9746
Equatorial Guinea,,,,,,,,,,,,845.0,940.0,1101.0,1690.0,2102.0,2007.0,3453.0,2613.0,2437.0,2577.0,2690.633,4426.338,12914.852,33419.887,47562.32,46255.0,33206.637,23300.297
Estonia,,,,,,,,,,,,,,,,,,,15044.0,16660.0,17661.0,13214.388,13547.661,16806.975,20803.758,24429.021,22784.3,25196.154,28261.582
Eswatini,,,,,,,,,,,,628.0,673.0,783.0,1172.0,1329.0,1889.0,3142.0,2946.0,2858.0,3492.0,3901.4001,4514.5493,4894.5205,5559.47,6791.392,7552.0,7993.1494,8167.6895
Ethiopia,,,,,,,,,,,,636.0,682.0,701.0,840.0,902.0,995.0,974.0,1033.0,956.0,969.0,708.3693,782.99414,771.7315,771.4652,989.9804,1291.7769,1722.3092,2121.8591
Finland,2503.0,2659.0,2759.0,2915.0,3223.0,2942.0,3545.0,4315.0,4065.0,5227.0,6307.0,7450.0,8440.0,9931.0,11647.0,12900.0,16654.0,18104.0,20640.0,22486.0,25644.0,24219.76,26637.266,32689.77,35888.613,40129.652,37715.01,37924.152,38871.703
